Scenario Information
Number of IoT Nodes,40
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,140,85.725,1.0,4019.726930974047,0,81.56612849235535
IoT-Level AoIs for Seed,42
IoT 7,91,t_gen=13
IoT 8,99,t_gen=5
IoT 9,121,t_gen=16
IoT 10,130,t_gen=7
IoT 11,104,t_gen=10
IoT 12,136,t_gen=1
IoT 13,27,t_gen=5
IoT 14,40,t_gen=5
IoT 15,132,t_gen=5
IoT 16,90,t_gen=14
IoT 17,23,t_gen=8
IoT 18,84,t_gen=20
IoT 19,87,t_gen=17
IoT 20,100,t_gen=4
IoT 21,95,t_gen=9
IoT 22,129,t_gen=8
IoT 23,13,t_gen=2
IoT 24,133,t_gen=4
IoT 25,98,t_gen=19
IoT 26,26,t_gen=13
IoT 27,118,t_gen=19
IoT 28,91,t_gen=13
IoT 29,97,t_gen=7
IoT 30,106,t_gen=11
IoT 31,122,t_gen=15
IoT 32,112,t_gen=5
IoT 33,21,t_gen=10
IoT 34,25,t_gen=6
IoT 35,118,t_gen=19
IoT 36,133,t_gen=4
IoT 37,102,t_gen=2
IoT 38,23,t_gen=8
IoT 39,137,t_gen=0
IoT 40,102,t_gen=2

90,134,79.3,1.0,3913.330075651767,0,64.60010647773743
IoT-Level AoIs for Seed,90
IoT 1,38,t_gen=8
IoT 2,134,t_gen=4
IoT 3,75,t_gen=12
IoT 4,83,t_gen=4
IoT 5,99,t_gen=1
IoT 6,76,t_gen=16
IoT 7,84,t_gen=3
IoT 8,87,t_gen=0
IoT 9,82,t_gen=5
IoT 10,129,t_gen=17
IoT 11,92,t_gen=2
IoT 12,87,t_gen=10
IoT 13,95,t_gen=19
IoT 14,128,t_gen=10
IoT 15,74,t_gen=18
IoT 16,23,t_gen=1
IoT 17,77,t_gen=15
IoT 18,27,t_gen=5
IoT 19,86,t_gen=6
IoT 20,123,t_gen=15
IoT 21,70,t_gen=17
IoT 22,103,t_gen=4
IoT 23,29,t_gen=17
IoT 24,82,t_gen=5
IoT 25,126,t_gen=12
IoT 26,72,t_gen=15
IoT 27,72,t_gen=20
IoT 28,74,t_gen=18
IoT 29,87,t_gen=12
IoT 30,74,t_gen=13
IoT 31,130,t_gen=16
IoT 32,75,t_gen=12
IoT 33,29,t_gen=17
IoT 34,86,t_gen=6
IoT 35,85,t_gen=2
IoT 36,72,t_gen=20
IoT 37,81,t_gen=6
IoT 38,73,t_gen=14
IoT 39,27,t_gen=19
IoT 40,26,t_gen=20

105,154,83.925,1.0,4505.236038135952,0,62.585981607437134
IoT-Level AoIs for Seed,105
IoT 1,69,t_gen=4
IoT 2,112,t_gen=5
IoT 3,140,t_gen=14
IoT 4,58,t_gen=7
IoT 5,59,t_gen=9
IoT 6,121,t_gen=16
IoT 7,58,t_gen=10
IoT 8,134,t_gen=3
IoT 9,66,t_gen=5
IoT 10,141,t_gen=12
IoT 11,119,t_gen=18
IoT 12,135,t_gen=19
IoT 13,52,t_gen=16
IoT 14,55,t_gen=13
IoT 15,52,t_gen=18
IoT 16,14,t_gen=15
IoT 17,143,t_gen=11
IoT 18,154,t_gen=0
IoT 19,49,t_gen=19
IoT 20,146,t_gen=13
IoT 21,36,t_gen=5
IoT 22,48,t_gen=20
IoT 23,32,t_gen=9
IoT 24,50,t_gen=11
IoT 25,50,t_gen=3
IoT 26,149,t_gen=5
IoT 27,66,t_gen=2
IoT 28,47,t_gen=6
IoT 29,18,t_gen=11
IoT 30,137,t_gen=16
IoT 31,79,t_gen=8
IoT 32,13,t_gen=16
IoT 33,68,t_gen=0
IoT 34,61,t_gen=4
IoT 35,153,t_gen=1
IoT 36,107,t_gen=10
IoT 37,143,t_gen=11
IoT 38,43,t_gen=10
IoT 39,114,t_gen=3
IoT 40,66,t_gen=2

49,164,77.6,1.0,4232.347920393884,0,54.556347370147705
IoT-Level AoIs for Seed,49
IoT 1,2,t_gen=20
IoT 2,17,t_gen=19
IoT 3,32,t_gen=0
IoT 4,19,t_gen=13
IoT 5,25,t_gen=11
IoT 6,19,t_gen=19
IoT 7,147,t_gen=17
IoT 8,34,t_gen=2
IoT 9,106,t_gen=17
IoT 10,50,t_gen=7
IoT 11,104,t_gen=19
IoT 12,111,t_gen=12
IoT 13,150,t_gen=17
IoT 14,20,t_gen=0
IoT 15,23,t_gen=9
IoT 16,17,t_gen=11
IoT 17,154,t_gen=10
IoT 18,151,t_gen=13
IoT 19,39,t_gen=8
IoT 20,164,t_gen=3
IoT 21,150,t_gen=14
IoT 22,145,t_gen=19
IoT 23,13,t_gen=7
IoT 24,123,t_gen=0
IoT 25,33,t_gen=3
IoT 26,159,t_gen=5
IoT 27,151,t_gen=13
IoT 28,9,t_gen=11
IoT 29,151,t_gen=16
IoT 30,161,t_gen=3
IoT 31,146,t_gen=18
IoT 32,6,t_gen=19
IoT 33,32,t_gen=10
IoT 34,23,t_gen=13
IoT 35,144,t_gen=20
IoT 36,160,t_gen=7
IoT 37,30,t_gen=2
IoT 38,26,t_gen=17
IoT 39,33,t_gen=16
IoT 40,25,t_gen=7

110,145,83.45,1.0,4073.778338277264,0,47.403432846069336
IoT-Level AoIs for Seed,110
IoT 1,39,t_gen=1
IoT 2,86,t_gen=2
IoT 3,130,t_gen=16
IoT 4,139,t_gen=7
IoT 5,130,t_gen=16
IoT 6,71,t_gen=17
IoT 7,97,t_gen=4
IoT 8,81,t_gen=7
IoT 9,38,t_gen=2
IoT 10,83,t_gen=5
IoT 11,32,t_gen=8
IoT 12,93,t_gen=8
IoT 13,89,t_gen=12
IoT 14,74,t_gen=14
IoT 15,72,t_gen=16
IoT 16,28,t_gen=12
IoT 17,78,t_gen=10
IoT 18,29,t_gen=2
IoT 19,42,t_gen=5
IoT 20,101,t_gen=0
IoT 21,36,t_gen=4
IoT 22,42,t_gen=17
IoT 23,145,t_gen=1
IoT 24,72,t_gen=16
IoT 25,20,t_gen=1
IoT 26,143,t_gen=1
IoT 27,86,t_gen=2
IoT 28,85,t_gen=3
IoT 29,30,t_gen=10
IoT 30,76,t_gen=12
IoT 31,124,t_gen=20
IoT 32,141,t_gen=5
IoT 33,127,t_gen=19
IoT 34,129,t_gen=15
IoT 35,134,t_gen=12
IoT 36,141,t_gen=3
IoT 37,28,t_gen=12
IoT 38,145,t_gen=1
IoT 39,33,t_gen=7
IoT 40,69,t_gen=19

Final Averages
avg_peak_aoi,143.3
avg_avg_aoi,85.3125
avg_coverage,1.0
avg_total_dist,4303.989391884089
avg_unserved,0.0
avg_runtime,62.78387725353241
