Scenario Information
Number of IoT Nodes,20
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,110,93.45,1.0,3351.566450668707,0,37.866514921188354
IoT-Level AoIs for Seed,42
IoT 1,72,t_gen=17
IoT 2,71,t_gen=18
IoT 3,97,t_gen=13
IoT 4,108,t_gen=2
IoT 5,75,t_gen=14
IoT 6,103,t_gen=7
IoT 7,97,t_gen=13
IoT 8,84,t_gen=5
IoT 9,28,t_gen=16
IoT 10,82,t_gen=7
IoT 11,5,t_gen=10
IoT 12,88,t_gen=1
IoT 13,39,t_gen=5
IoT 14,84,t_gen=5
IoT 15,105,t_gen=5
IoT 16,96,t_gen=14
IoT 17,102,t_gen=8
IoT 18,57,t_gen=20
IoT 19,72,t_gen=17
IoT 20,85,t_gen=4

90,88,65.15,1.0,3182.4217402826876,0,20.368146657943726
IoT-Level AoIs for Seed,90
IoT 1,73,t_gen=8
IoT 2,51,t_gen=4
IoT 3,83,t_gen=12
IoT 4,73,t_gen=4
IoT 5,56,t_gen=1
IoT 6,79,t_gen=16
IoT 7,84,t_gen=3
IoT 8,55,t_gen=0
IoT 9,50,t_gen=5
IoT 10,64,t_gen=17
IoT 11,70,t_gen=2
IoT 12,60,t_gen=10
IoT 13,78,t_gen=19
IoT 14,45,t_gen=10
IoT 15,63,t_gen=18
IoT 16,88,t_gen=1
IoT 17,40,t_gen=15
IoT 18,76,t_gen=5
IoT 19,75,t_gen=6
IoT 20,40,t_gen=15

105,90,64.1,1.0,2981.020588502529,0,31.557795524597168
IoT-Level AoIs for Seed,105
IoT 1,13,t_gen=4
IoT 2,44,t_gen=5
IoT 3,79,t_gen=14
IoT 4,66,t_gen=7
IoT 5,84,t_gen=9
IoT 6,77,t_gen=16
IoT 7,83,t_gen=10
IoT 8,90,t_gen=3
IoT 9,45,t_gen=5
IoT 10,81,t_gen=12
IoT 11,75,t_gen=18
IoT 12,54,t_gen=19
IoT 13,57,t_gen=16
IoT 14,80,t_gen=13
IoT 15,31,t_gen=18
IoT 16,34,t_gen=15
IoT 17,62,t_gen=11
IoT 18,73,t_gen=0
IoT 19,74,t_gen=19
IoT 20,80,t_gen=13

49,87,60.1,1.0,3064.7462966520407,0,21.335355520248413
IoT-Level AoIs for Seed,49
IoT 1,34,t_gen=20
IoT 2,78,t_gen=19
IoT 3,87,t_gen=0
IoT 4,74,t_gen=13
IoT 5,76,t_gen=11
IoT 6,10,t_gen=19
IoT 7,58,t_gen=17
IoT 8,85,t_gen=2
IoT 9,58,t_gen=17
IoT 10,33,t_gen=7
IoT 11,56,t_gen=19
IoT 12,63,t_gen=12
IoT 13,58,t_gen=17
IoT 14,75,t_gen=0
IoT 15,20,t_gen=9
IoT 16,47,t_gen=11
IoT 17,77,t_gen=10
IoT 18,74,t_gen=13
IoT 19,67,t_gen=8
IoT 20,72,t_gen=3

110,104,53.9,1.0,3243.33003149297,0,21.585916757583618
IoT-Level AoIs for Seed,110
IoT 1,26,t_gen=1
IoT 2,103,t_gen=2
IoT 3,89,t_gen=16
IoT 4,104,t_gen=7
IoT 5,36,t_gen=16
IoT 6,88,t_gen=17
IoT 7,101,t_gen=4
IoT 8,98,t_gen=7
IoT 9,25,t_gen=2
IoT 10,40,t_gen=5
IoT 11,19,t_gen=8
IoT 12,27,t_gen=8
IoT 13,23,t_gen=12
IoT 14,38,t_gen=14
IoT 15,36,t_gen=16
IoT 16,15,t_gen=12
IoT 17,95,t_gen=10
IoT 18,33,t_gen=2
IoT 19,47,t_gen=5
IoT 20,35,t_gen=0

Final Averages
avg_peak_aoi,99.2
avg_avg_aoi,67.56
avg_coverage,1.0
avg_total_dist,3216.9009882376454
avg_unserved,0.0
avg_runtime,29.82542254924774
