Scenario Information
Number of IoT Nodes,40
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,125,79.625,1.0,3947.0307069842825,0,128.171302318573
IoT-Level AoIs for Seed,42
IoT 32,89,t_gen=5
IoT 33,114,t_gen=10
IoT 34,101,t_gen=6
IoT 35,75,t_gen=19
IoT 36,103,t_gen=4
IoT 37,92,t_gen=2
IoT 38,99,t_gen=8
IoT 39,107,t_gen=0
IoT 40,92,t_gen=2

90,113,82.825,1.0,4161.335692913765,0,181.93257188796997
IoT-Level AoIs for Seed,90
IoT 1,84,t_gen=8
IoT 2,88,t_gen=4
IoT 3,74,t_gen=12
IoT 4,16,t_gen=4
IoT 5,103,t_gen=1
IoT 6,76,t_gen=16
IoT 7,83,t_gen=3
IoT 8,86,t_gen=0
IoT 9,81,t_gen=5
IoT 10,102,t_gen=17
IoT 11,84,t_gen=2
IoT 12,79,t_gen=10
IoT 13,98,t_gen=19
IoT 14,82,t_gen=10
IoT 15,101,t_gen=18
IoT 16,30,t_gen=1
IoT 17,77,t_gen=15
IoT 18,34,t_gen=5
IoT 19,113,t_gen=6
IoT 20,77,t_gen=15
IoT 21,69,t_gen=17
IoT 22,99,t_gen=4
IoT 23,75,t_gen=17
IoT 24,81,t_gen=5
IoT 25,106,t_gen=12
IoT 26,71,t_gen=15
IoT 27,99,t_gen=20
IoT 28,101,t_gen=18
IoT 29,79,t_gen=12
IoT 30,73,t_gen=13
IoT 31,103,t_gen=16
IoT 32,74,t_gen=12
IoT 33,75,t_gen=17
IoT 34,113,t_gen=6
IoT 35,84,t_gen=2
IoT 36,106,t_gen=20
IoT 37,80,t_gen=6
IoT 38,72,t_gen=14
IoT 39,73,t_gen=19
IoT 40,112,t_gen=20

105,147,89.85,1.0,4412.424356870362,0,188.7796401977539
IoT-Level AoIs for Seed,105
IoT 1,85,t_gen=4
IoT 2,81,t_gen=5
IoT 3,133,t_gen=14
IoT 4,39,t_gen=7
IoT 5,114,t_gen=9
IoT 6,143,t_gen=16
IoT 7,113,t_gen=10
IoT 8,120,t_gen=3
IoT 9,82,t_gen=5
IoT 10,147,t_gen=12
IoT 11,141,t_gen=18
IoT 12,128,t_gen=19
IoT 13,143,t_gen=16
IoT 14,73,t_gen=13
IoT 15,68,t_gen=18
IoT 16,71,t_gen=15
IoT 17,136,t_gen=11
IoT 18,147,t_gen=0
IoT 19,55,t_gen=19
IoT 20,139,t_gen=13
IoT 21,103,t_gen=5
IoT 22,66,t_gen=20
IoT 23,77,t_gen=9
IoT 24,17,t_gen=11
IoT 25,45,t_gen=3
IoT 26,142,t_gen=5
IoT 27,96,t_gen=2
IoT 28,16,t_gen=6
IoT 29,11,t_gen=11
IoT 30,30,t_gen=16
IoT 31,78,t_gen=8
IoT 32,6,t_gen=16
IoT 33,147,t_gen=0
IoT 34,42,t_gen=4
IoT 35,146,t_gen=1
IoT 36,87,t_gen=10
IoT 37,136,t_gen=11
IoT 38,64,t_gen=10
IoT 39,94,t_gen=3
IoT 40,33,t_gen=2

49,120,77.675,1.0,4398.626640277211,0,193.96135807037354
IoT-Level AoIs for Seed,49
IoT 1,91,t_gen=20
IoT 2,17,t_gen=19
IoT 3,32,t_gen=0
IoT 4,19,t_gen=13
IoT 5,25,t_gen=11
IoT 6,19,t_gen=19
IoT 7,91,t_gen=17
IoT 8,34,t_gen=2
IoT 9,91,t_gen=17
IoT 10,42,t_gen=7
IoT 11,89,t_gen=19
IoT 12,99,t_gen=12
IoT 13,99,t_gen=17
IoT 14,116,t_gen=0
IoT 15,23,t_gen=9
IoT 16,97,t_gen=11
IoT 17,101,t_gen=10
IoT 18,103,t_gen=13
IoT 19,108,t_gen=8
IoT 20,113,t_gen=3
IoT 21,97,t_gen=14
IoT 22,97,t_gen=19
IoT 23,109,t_gen=7
IoT 24,108,t_gen=0
IoT 25,33,t_gen=3
IoT 26,103,t_gen=5
IoT 27,95,t_gen=13
IoT 28,111,t_gen=11
IoT 29,100,t_gen=16
IoT 30,108,t_gen=3
IoT 31,93,t_gen=18
IoT 32,96,t_gen=19
IoT 33,119,t_gen=10
IoT 34,23,t_gen=13
IoT 35,96,t_gen=20
IoT 36,109,t_gen=7
IoT 37,30,t_gen=2
IoT 38,26,t_gen=17
IoT 39,120,t_gen=16
IoT 40,25,t_gen=7

110,131,88.55,1.0,4089.630390487383,0,185.23197150230408
IoT-Level AoIs for Seed,110
IoT 1,39,t_gen=1
IoT 2,107,t_gen=2
IoT 3,93,t_gen=16
IoT 4,121,t_gen=7
IoT 5,93,t_gen=16
IoT 6,92,t_gen=17
IoT 7,64,t_gen=4
IoT 8,102,t_gen=7
IoT 9,38,t_gen=2
IoT 10,38,t_gen=5
IoT 11,32,t_gen=8
IoT 12,119,t_gen=8
IoT 13,115,t_gen=12
IoT 14,95,t_gen=14
IoT 15,93,t_gen=16
IoT 16,28,t_gen=12
IoT 17,118,t_gen=10
IoT 18,107,t_gen=2
IoT 19,131,t_gen=5
IoT 20,127,t_gen=0
IoT 21,36,t_gen=4
IoT 22,110,t_gen=17
IoT 23,127,t_gen=1
IoT 24,112,t_gen=16
IoT 25,131,t_gen=1
IoT 26,127,t_gen=1
IoT 27,107,t_gen=2
IoT 28,125,t_gen=3
IoT 29,30,t_gen=10
IoT 30,97,t_gen=12
IoT 31,108,t_gen=20
IoT 32,123,t_gen=5
IoT 33,109,t_gen=19
IoT 34,112,t_gen=15
IoT 35,28,t_gen=12
IoT 36,49,t_gen=3
IoT 37,28,t_gen=12
IoT 38,108,t_gen=1
IoT 39,33,t_gen=7
IoT 40,90,t_gen=19

Final Averages
avg_peak_aoi,133.2
avg_avg_aoi,83.13000000000001
avg_coverage,1.0
avg_total_dist,4274.969587467707
avg_unserved,0.0
avg_runtime,157.03533346652983
