Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,233,191.0,1.0,7562.8171972572645,0,5.315058469772339
Individual AoIs for Seed,42
IoT 16,87,t_gen=14
IoT 17,149,t_gen=8
IoT 18,137,t_gen=20
IoT 19,84,t_gen=17
IoT 20,97,t_gen=4
IoT 21,148,t_gen=9
IoT 22,149,t_gen=8
IoT 23,155,t_gen=2
IoT 24,97,t_gen=4
IoT 25,166,t_gen=19
IoT 26,144,t_gen=13
IoT 27,176,t_gen=19
IoT 28,88,t_gen=13
IoT 29,178,t_gen=7
IoT 30,146,t_gen=11
IoT 31,86,t_gen=15
IoT 32,180,t_gen=5
IoT 33,180,t_gen=10
IoT 34,151,t_gen=6
IoT 35,138,t_gen=19
IoT 36,97,t_gen=4
IoT 37,99,t_gen=2
IoT 38,149,t_gen=8
IoT 39,101,t_gen=0
IoT 40,99,t_gen=2
IoT 41,100,t_gen=1
IoT 42,145,t_gen=12
IoT 43,153,t_gen=4
IoT 44,148,t_gen=9
IoT 45,150,t_gen=7
IoT 46,147,t_gen=10
IoT 47,156,t_gen=1
IoT 48,150,t_gen=7
IoT 49,149,t_gen=8
IoT 50,170,t_gen=15
IoT 51,145,t_gen=12
IoT 52,157,t_gen=0
IoT 53,166,t_gen=19
IoT 54,139,t_gen=18
IoT 55,140,t_gen=17
IoT 56,168,t_gen=17
IoT 57,175,t_gen=10
IoT 58,150,t_gen=7
IoT 59,173,t_gen=12
IoT 60,173,t_gen=12

90,164,123.83333333333333,1.0,5862.813476029316,0,5.93803334236145
Individual AoIs for Seed,90
IoT 1,117,t_gen=8
IoT 2,121,t_gen=4
IoT 3,140,t_gen=12
IoT 4,90,t_gen=4
IoT 5,124,t_gen=1
IoT 6,109,t_gen=16
IoT 7,91,t_gen=3
IoT 8,152,t_gen=0
IoT 9,147,t_gen=5
IoT 10,153,t_gen=17
IoT 11,92,t_gen=2
IoT 12,84,t_gen=10
IoT 13,151,t_gen=19
IoT 14,142,t_gen=10
IoT 15,152,t_gen=18
IoT 16,93,t_gen=1
IoT 17,79,t_gen=15
IoT 18,89,t_gen=5
IoT 19,164,t_gen=6
IoT 20,137,t_gen=15
IoT 21,135,t_gen=17
IoT 22,90,t_gen=4
IoT 23,132,t_gen=17
IoT 24,89,t_gen=5
IoT 25,137,t_gen=12
IoT 26,137,t_gen=15
IoT 27,150,t_gen=20
IoT 28,107,t_gen=18
IoT 29,90,t_gen=12
IoT 30,139,t_gen=13
IoT 31,154,t_gen=16
IoT 32,140,t_gen=12
IoT 33,108,t_gen=17
IoT 34,119,t_gen=6
IoT 35,150,t_gen=2
IoT 36,74,t_gen=20
IoT 37,146,t_gen=6
IoT 38,138,t_gen=14
IoT 39,106,t_gen=19
IoT 40,144,t_gen=20
IoT 41,110,t_gen=15
IoT 42,155,t_gen=11
IoT 43,146,t_gen=18
IoT 44,132,t_gen=20
IoT 45,148,t_gen=4
IoT 46,114,t_gen=11
IoT 47,133,t_gen=19
IoT 48,93,t_gen=1
IoT 49,125,t_gen=0
IoT 50,123,t_gen=2
IoT 51,148,t_gen=4
IoT 52,116,t_gen=9
IoT 53,114,t_gen=11
IoT 54,152,t_gen=0
IoT 55,141,t_gen=11
IoT 56,118,t_gen=7
IoT 57,83,t_gen=19
IoT 58,110,t_gen=15
IoT 59,142,t_gen=10
IoT 60,115,t_gen=10

105,154,119.23333333333333,1.0,5317.46999546869,0,6.173854351043701
Individual AoIs for Seed,105
IoT 1,153,t_gen=4
IoT 2,107,t_gen=5
IoT 3,140,t_gen=14
IoT 4,144,t_gen=7
IoT 5,45,t_gen=9
IoT 6,138,t_gen=16
IoT 7,44,t_gen=10
IoT 8,151,t_gen=3
IoT 9,152,t_gen=5
IoT 10,142,t_gen=12
IoT 11,136,t_gen=18
IoT 12,135,t_gen=19
IoT 13,135,t_gen=16
IoT 14,41,t_gen=13
IoT 15,139,t_gen=18
IoT 16,97,t_gen=15
IoT 17,143,t_gen=11
IoT 18,154,t_gen=0
IoT 19,123,t_gen=19
IoT 20,41,t_gen=13
IoT 21,146,t_gen=5
