Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.051325,256,102.65,1.0,6677.400695246428,0,198.14353013038635
Individual AoIs for Seed,42
IoT 52,62,t_gen=10
IoT 53,29,t_gen=10
IoT 54,170,t_gen=20
IoT 55,32,t_gen=7
IoT 56,35,t_gen=4
IoT 57,133,t_gen=3
IoT 58,34,t_gen=2
IoT 59,65,t_gen=7
IoT 60,77,t_gen=11

110,0.048841666666666665,214,97.68333333333334,1.0,5835.295543049464,0,113.18823528289795
Individual AoIs for Seed,110
IoT 1,178,t_gen=1
IoT 2,93,t_gen=2
IoT 3,124,t_gen=16
IoT 4,201,t_gen=7
IoT 5,79,t_gen=16
IoT 6,78,t_gen=17
IoT 7,81,t_gen=4
IoT 8,88,t_gen=7
IoT 9,37,t_gen=2
IoT 10,92,t_gen=5
IoT 11,132,t_gen=8
IoT 12,18,t_gen=8
IoT 13,109,t_gen=12
IoT 14,126,t_gen=14
IoT 15,69,t_gen=16
IoT 16,27,t_gen=12
IoT 17,130,t_gen=10
IoT 18,129,t_gen=2
IoT 19,32,t_gen=5
IoT 20,26,t_gen=0
IoT 21,35,t_gen=4
IoT 22,9,t_gen=17
IoT 23,207,t_gen=1
IoT 24,124,t_gen=16
IoT 25,120,t_gen=1
IoT 26,84,t_gen=1
IoT 27,93,t_gen=2
IoT 28,137,t_gen=3
IoT 29,29,t_gen=10
IoT 30,73,t_gen=12
IoT 31,120,t_gen=20
IoT 32,214,t_gen=5
IoT 33,66,t_gen=19
IoT 34,70,t_gen=15
IoT 35,128,t_gen=12
IoT 36,92,t_gen=3
IoT 37,27,t_gen=12
IoT 38,139,t_gen=1
IoT 39,32,t_gen=7
IoT 40,121,t_gen=19
IoT 41,85,t_gen=12
IoT 42,174,t_gen=5
IoT 43,93,t_gen=2
IoT 44,111,t_gen=10
IoT 45,107,t_gen=16
IoT 46,27,t_gen=6
IoT 47,123,t_gen=17
IoT 48,132,t_gen=11
IoT 49,145,t_gen=5
IoT 50,81,t_gen=4
IoT 51,67,t_gen=18
IoT 52,77,t_gen=18
IoT 53,68,t_gen=17
IoT 54,123,t_gen=17
IoT 55,66,t_gen=19
IoT 56,128,t_gen=12
IoT 57,135,t_gen=5
IoT 58,77,t_gen=8
IoT 59,140,t_gen=0
IoT 60,133,t_gen=10

Final Averages
avg_fitness,0.04785916666666666
avg_peak_aoi,239.4
avg_avg_aoi,95.71833333333333
avg_coverage,1.0
avg_total_dist,6366.3886577288695
avg_unserved,0.0
avg_runtime,152.80923359394075
