Scenario Information
Number of IoT Nodes,40
Number of UAVs,4
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.4975962946467313,177,100.7,1.0,6357.633687787567,0,38.75152945518494
IoT 22,47,t_gen=4
IoT 23,140,t_gen=17
IoT 24,73,t_gen=5
IoT 25,145,t_gen=12
IoT 26,63,t_gen=15
IoT 27,137,t_gen=20
IoT 28,51,t_gen=18
IoT 29,72,t_gen=12
IoT 30,65,t_gen=13
IoT 31,141,t_gen=16
IoT 32,66,t_gen=12
IoT 33,88,t_gen=17
IoT 34,102,t_gen=6
IoT 35,103,t_gen=2
IoT 36,85,t_gen=20
IoT 37,72,t_gen=6
IoT 38,64,t_gen=14
IoT 39,86,t_gen=19
IoT 40,146,t_gen=20

105,0.4238782015394077,148,85.75,1.0,5510.573698995781,0,39.53488731384277
Individual AoIs for Seed,105
IoT 1,141,t_gen=4
IoT 2,148,t_gen=5
IoT 3,114,t_gen=14
IoT 4,121,t_gen=7
IoT 5,119,t_gen=9
IoT 6,111,t_gen=16
IoT 7,44,t_gen=10
IoT 8,124,t_gen=3
IoT 9,27,t_gen=5
IoT 10,29,t_gen=12
IoT 11,109,t_gen=18
IoT 12,108,t_gen=19
IoT 13,125,t_gen=16
IoT 14,115,t_gen=13
IoT 15,129,t_gen=18
IoT 16,13,t_gen=15
IoT 17,31,t_gen=11
IoT 18,127,t_gen=0
IoT 19,109,t_gen=19
IoT 20,34,t_gen=13
IoT 21,148,t_gen=5
IoT 22,34,t_gen=20
IoT 23,87,t_gen=9
IoT 24,22,t_gen=11
IoT 25,125,t_gen=3
IoT 26,36,t_gen=5
IoT 27,94,t_gen=2
IoT 28,48,t_gen=6
IoT 29,43,t_gen=11
IoT 30,16,t_gen=16
IoT 31,38,t_gen=8
IoT 32,12,t_gen=16
IoT 33,127,t_gen=0
IoT 34,123,t_gen=4
IoT 35,126,t_gen=1
IoT 36,117,t_gen=10
IoT 37,116,t_gen=11
IoT 38,143,t_gen=10
IoT 39,59,t_gen=3
IoT 40,38,t_gen=2

49,0.38461126202125306,129,78.65,1.0,5165.309310562935,0,40.03221154212952
Individual AoIs for Seed,49
IoT 1,106,t_gen=20
IoT 2,16,t_gen=19
IoT 3,93,t_gen=0
IoT 4,112,t_gen=13
IoT 5,83,t_gen=11
IoT 6,128,t_gen=19
IoT 7,109,t_gen=17
IoT 8,92,t_gen=2
IoT 9,109,t_gen=17
IoT 10,86,t_gen=7
IoT 11,110,t_gen=19
IoT 12,81,t_gen=12
IoT 13,109,t_gen=17
IoT 14,20,t_gen=0
IoT 15,22,t_gen=9
